"BehaviorSpace results (NetLogo 6.1.1)"
"Navigation_strategies.nlogo"
"project-test-2"
"06/25/2020 17:46:39:065 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","catch-distance","predator-vision","noise-stddev","flocking","max-separate-turn","lock-on-distance","predator-population","predator-FOV","population","catch-handle-time","update-freq","topo","max-hunt-turn","predator-noise-stddev","flocking-weight","speed-stddev","max-vision","max-align-turn","predator-update-freq","hunting?","max-escape-turn","always_react?","max-cohere-turn","switch-penalty","detection-range","predator-speed","minimum-separation","speed","FOV","kill-prey","hunt-start-tick","proportional-turn-modifier","escape-strategy","predator-strategy","[step]","catches","losts"
"77","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","2","7"
"76","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","2","9"
"79","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","3","10"
"78","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","1","3"
"80","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","4","11"
"82","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","0","6"
"83","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","1","4"
"85","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","1","8"
"84","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","2","9"
"81","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","3","7"
"86","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","1","8"
"87","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","2","6"
"90","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","2","8"
"88","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","1","6"
"89","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sacrifice","proportional","2000","0","4"
"91","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","3"
"92","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","1"
"93","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","0"
"95","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","1"
"94","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","0"
"96","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","0"
"97","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","4"
"98","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","1"
"99","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","0"
"100","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","1"
"101","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","5"
"105","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","0"
"102","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","1"
"106","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","2"
"103","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","4"
"104","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","direct","2000","0","2"
"107","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","0"
"108","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","0"
"109","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","0"
"110","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","3"
"116","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","2"
"114","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","0"
"120","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","1"
"119","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","3"
"111","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","2"
"117","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","4"
"112","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","0"
"113","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","5"
"115","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","1"
"118","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","sprint","proportional","2000","0","0"
"124","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","25","38"
"123","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","19","34"
"122","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","22","31"
"125","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","28","32"
"126","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","23","34"
"121","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","24","36"
"127","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","22","28"
"128","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","25","31"
"129","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","25","34"
"131","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","23","38"
"130","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","23","28"
"132","0.5","60","1","true","2","5","1","200","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","25","8","0.6","1","0.4","360","false","100","250","none","direct","2000","20","35"
